"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Virolahti Harju","2024","3","30","06:00","7.5"
"Virolahti Harju","2024","3","30","07:00","7.6"
"Virolahti Harju","2024","3","30","08:00","7"
"Virolahti Harju","2024","3","30","09:00","7.4"
"Virolahti Harju","2024","3","30","10:00","8.5"
"Virolahti Harju","2024","3","30","11:00","10.1"
"Virolahti Harju","2024","3","30","12:00","10.8"
"Virolahti Harju","2024","3","30","13:00","10.6"
"Virolahti Harju","2024","3","30","14:00","10.5"
"Virolahti Harju","2024","3","30","15:00","8.2"
"Virolahti Harju","2024","3","30","16:00","5.7"
"Virolahti Harju","2024","3","30","17:00","3.9"
"Virolahti Harju","2024","3","30","18:00","2.9"
"Virolahti Harju","2024","3","30","19:00","1.9"
"Virolahti Harju","2024","3","30","20:00","2"
"Virolahti Harju","2024","3","30","21:00","2.2"
"Virolahti Harju","2024","3","30","22:00","2.6"
"Virolahti Harju","2024","3","30","23:00","2.7"
"Virolahti Harju","2024","3","31","00:00","3.1"
"Virolahti Harju","2024","3","31","01:00","-"
"Virolahti Harju","2024","3","31","02:00","3.1"
"Virolahti Harju","2024","3","31","03:00","3.3"
"Virolahti Harju","2024","3","31","04:00","2.9"
"Virolahti Harju","2024","3","31","05:00","2.6"
"Virolahti Harju","2024","3","31","06:00","2.9"
"Virolahti Harju","2024","3","31","07:00","3.2"
"Virolahti Harju","2024","3","31","08:00","1.7"
"Virolahti Harju","2024","3","31","09:00","2.4"
"Virolahti Harju","2024","3","31","10:00","3.4"
"Virolahti Harju","2024","3","31","11:00","2.7"
"Virolahti Harju","2024","3","31","12:00","2.2"
"Virolahti Harju","2024","3","31","13:00","2.5"
"Virolahti Harju","2024","3","31","14:00","2.7"
"Virolahti Harju","2024","3","31","15:00","4.3"
"Virolahti Harju","2024","3","31","16:00","4.9"
"Virolahti Harju","2024","3","31","17:00","6.7"
"Virolahti Harju","2024","3","31","18:00","9.8"
"Virolahti Harju","2024","3","31","19:00","11.6"
"Virolahti Harju","2024","3","31","20:00","13"
"Virolahti Harju","2024","3","31","21:00","13.4"
"Virolahti Harju","2024","3","31","22:00","12.7"
"Virolahti Harju","2024","3","31","23:00","10.6"
"Virolahti Harju","2024","4","1","00:00","9.7"
"Virolahti Harju","2024","4","1","01:00","9.9"
"Virolahti Harju","2024","4","1","02:00","10.2"
"Virolahti Harju","2024","4","1","03:00","10.1"
"Virolahti Harju","2024","4","1","04:00","11.9"
"Virolahti Harju","2024","4","1","05:00","12.2"
"Virolahti Harju","2024","4","1","06:00","15.5"
"Virolahti Harju","2024","4","1","07:00","20.7"
"Virolahti Harju","2024","4","1","08:00","23.7"
"Virolahti Harju","2024","4","1","09:00","27"
"Virolahti Harju","2024","4","1","10:00","31.3"
"Virolahti Harju","2024","4","1","11:00","38.7"
"Virolahti Harju","2024","4","1","12:00","40.4"
"Virolahti Harju","2024","4","1","13:00","42.3"
"Virolahti Harju","2024","4","1","14:00","52.3"
"Virolahti Harju","2024","4","1","15:00","55.4"
"Virolahti Harju","2024","4","1","16:00","50.1"
"Virolahti Harju","2024","4","1","17:00","43.6"
"Virolahti Harju","2024","4","1","18:00","41.4"
"Virolahti Harju","2024","4","1","19:00","34.5"
"Virolahti Harju","2024","4","1","20:00","26.5"
"Virolahti Harju","2024","4","1","21:00","16.1"
"Virolahti Harju","2024","4","1","22:00","11.7"
"Virolahti Harju","2024","4","1","23:00","6.4"
"Virolahti Harju","2024","4","2","00:00","3.9"
"Virolahti Harju","2024","4","2","01:00","4.5"
"Virolahti Harju","2024","4","2","02:00","3.3"
"Virolahti Harju","2024","4","2","03:00","2.4"
"Virolahti Harju","2024","4","2","04:00","2.6"
"Virolahti Harju","2024","4","2","05:00","2"
"Virolahti Harju","2024","4","2","06:00","1.7"
"Virolahti Harju","2024","4","2","07:00","1.9"
"Virolahti Harju","2024","4","2","08:00","2"
"Virolahti Harju","2024","4","2","09:00","2.2"
"Virolahti Harju","2024","4","2","10:00","2.9"
"Virolahti Harju","2024","4","2","11:00","2.8"
"Virolahti Harju","2024","4","2","12:00","3"
"Virolahti Harju","2024","4","2","13:00","3.6"
"Virolahti Harju","2024","4","2","14:00","3.7"
"Virolahti Harju","2024","4","2","15:00","2.8"
"Virolahti Harju","2024","4","2","16:00","4"
"Virolahti Harju","2024","4","2","17:00","3.7"
"Virolahti Harju","2024","4","2","18:00","2.6"
