geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,10k,500m,100m
"LINESTRING Z (391922.8686221469 6679875.551900733 0, 391859.6936037824 6679817.023064584 0, 391689.7321034622 6679684.991509398 0)",99477183.0,99476693.0,2024-03-25 09:55:18+00:00,2024-03-25 09:57:59+00:00,['BRUSHING'],2024-03-25 09:55:19+00:00,2024-03-25 09:55:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391754.6886435362 6679739.898827051 0, 391520.6640296882 6679561.075764761 0)",99477510.0,99477057.0,2024-03-25 09:57:44+00:00,2024-03-25 10:00:02+00:00,['BRUSHING'],2024-03-25 09:57:43+00:00,2024-03-25 09:57:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391754.6886435362 6679739.898827051 0, 391517.8332281901 6679559.042524812 0)",99477510.0,99477057.0,2024-03-25 09:57:44+00:00,2024-03-25 10:00:02+00:00,['BRUSHING'],2024-03-25 09:57:43+00:00,2024-03-25 10:00:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391685.8166812912 6679681.875938158 0, 391441.962813334 6679495.102754865 0)",99477632.0,99477183.0,2024-03-25 09:58:18+00:00,2024-03-25 10:01:04+00:00,['BRUSHING'],2024-03-25 09:58:19+00:00,2024-03-25 10:01:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391517.8332281901 6679559.042524812 0, 391271.2878115342 6679382.946555221 0)",99478024.0,99477510.0,2024-03-25 10:00:44+00:00,2024-03-25 10:03:07+00:00,['BRUSHING'],2024-03-25 10:00:43+00:00,2024-03-25 10:03:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391441.962813334 6679495.102754865 0, 391186.732975274 6679317.933001352 0)",99478140.0,99477632.0,2024-03-25 10:01:19+00:00,2024-03-25 10:04:08+00:00,['BRUSHING'],2024-03-25 10:01:19+00:00,2024-03-25 10:04:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391271.2878115342 6679382.946555221 0, 391007.7536419004 6679206.593017495 0)",99478472.0,99478024.0,2024-03-25 10:03:45+00:00,2024-03-25 10:06:12+00:00,['BRUSHING'],2024-03-25 10:03:43+00:00,2024-03-25 10:06:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391186.732975274 6679317.933001352 0, 390943.6546101923 6679155.127166645 0)",99478676.0,99478140.0,2024-03-25 10:04:18+00:00,2024-03-25 10:07:13+00:00,['BRUSHING'],2024-03-25 10:04:19+00:00,2024-03-25 10:07:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (391007.7536419004 6679206.593017495 0, 390796.8403947012 6679061.781431735 0)",99479012.0,99478472.0,2024-03-25 10:06:44+00:00,2024-03-25 10:09:16+00:00,['BRUSHING'],2024-03-25 10:06:43+00:00,2024-03-25 10:09:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (390943.6546101923 6679155.127166645 0, 390743.0625450356 6679018.368266153 0)",99479142.0,99478676.0,2024-03-25 10:07:19+00:00,2024-03-25 10:10:17+00:00,['BRUSHING'],2024-03-25 10:07:19+00:00,2024-03-25 10:10:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (390796.8403947012 6679061.781431735 0, 390584.425403733 6678917.360661368 0)",99479566.0,99479012.0,2024-03-25 10:09:44+00:00,2024-03-25 10:12:20+00:00,['BRUSHING'],2024-03-25 10:09:43+00:00,2024-03-25 10:12:43+00:00,,state-roads,Harja/Väylävirasto,True,False,False
