geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,10k,500m,100m
"LINESTRING Z (437937.5052661528 6900328.766833846 0, 437888.8667537373 6900245.758125802 0, 437823.8019758555 6900112.464729309 0, 437809.1372514858 6900047.661140987 0, 437807.6187399139 6899985.177545371 0, 437792.2331990406 6899957.381759332 0, 437794.6351966211 6899943.854461925 0, 437808.1125478423 6899935.916819391 0, 437863.5067316581 6899936.676637998 0, 437880.7825308081 6899911.954837974 0, 437869.3889648402 6899689.084486282 0, 437844.7297325166 6899573.096523506 0)",105130261.0,105130055.0,2024-05-15 08:25:27+00:00,2024-05-15 08:27:40+00:00,['BRUSHING'],2024-05-15 08:25:27+00:00,2024-05-15 08:26:28+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (437844.7297325166 6899573.096523506 0, 437814.0134369275 6899498.114998173 0, 437762.3390816132 6899414.82965317 0, 437721.8157057934 6899366.550303551 0, 437645.6548515491 6899298.094035629 0, 437571.9465581217 6899249.874031389 0, 437364.6409938812 6899146.975113094 0, 437193.1297854863 6899017.346348097 0, 437125.7213085901 6898992.418487919 0, 437035.7059557033 6898988.083333041 0)",105130465.0,105130261.0,2024-05-15 08:26:28+00:00,2024-05-15 08:28:42+00:00,['BRUSHING'],2024-05-15 08:26:28+00:00,2024-05-15 08:27:34+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (437035.7059557033 6898988.083333041 0, 436946.4962037024 6899001.787068578 0, 436876.0380974887 6899000.210035858 0, 436763.9096834633 6898981.699482949 0, 436678.5868988027 6898955.891228029 0, 436587.4642823804 6898945.348768923 0, 436429.1396010714 6898959.811374342 0, 436423.4223271181 6898951.784935342 0, 436411.3598480094 6898858.411597366 0, 436398.0090127043 6898831.809134759 0)",105130679.0,105130465.0,2024-05-15 08:27:34+00:00,2024-05-15 08:29:44+00:00,['BRUSHING'],2024-05-15 08:27:34+00:00,2024-05-15 08:29:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (436398.0090127043 6898831.809134759 0, 436394.9957482969 6898815.485855212 0, 436393.690042311 6898837.239347791 0, 436401.6357661102 6898828.286309267 0, 436408.7073805948 6898836.398569713 0, 436426.1541278598 6898955.967693225 0, 436411.2409875334 6898965.052251471 0, 436255.155175608 6898993.298118193 0, 436213.4018256352 6899010.580469612 0, 436013.2903679153 6899168.9310265 0)",105131088.0,105130679.0,2024-05-15 08:29:44+00:00,2024-05-15 08:31:49+00:00,['BRUSHING'],2024-05-15 08:29:44+00:00,2024-05-15 08:30:45+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (436013.2903679153 6899168.9310265 0, 436001.6325505385 6899179.515610232 0, 435938.9252384767 6899186.05678175 0, 435826.7831273197 6899147.743089595 0, 435584.6010439672 6899122.950011235 0, 435556.04469548 6899131.073734459 0, 435485.2243368493 6899113.263894981 0, 435281.3413103839 6899092.327546235 0)",105131288.0,105131088.0,2024-05-15 08:30:45+00:00,2024-05-15 08:32:51+00:00,['BRUSHING'],2024-05-15 08:30:45+00:00,2024-05-15 08:31:46+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435281.3413103839 6899092.327546235 0, 434472.4777136581 6899010.692341102 0, 434201.7590941788 6899006.83421784 0)",105131487.0,105131288.0,2024-05-15 08:31:46+00:00,2024-05-15 08:33:53+00:00,['BRUSHING'],2024-05-15 08:31:46+00:00,2024-05-15 08:32:47+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (434201.7590941788 6899006.83421784 0, 434075.3880135471 6899019.000589658 0, 434045.5745558441 6899037.190660876 0, 433951.1063672608 6899044.836863127 0, 433845.190429746 6899073.436975962 0, 433834.2909165094 6899085.24007129 0, 433823.638868949 6899151.974331016 0, 433806.6701417243 6899188.41187014 0, 433777.747463895 6899214.721419127 0, 433724.5972115336 6899236.270740884 0, 433712.2412955934 6899250.665865986 0, 433709.3878278938 6899285.377445123 0, 433716.0305913246 6899387.652808454 0)",105131693.0,105131487.0,2024-05-15 08:32:47+00:00,2024-05-15 08:34:55+00:00,['BRUSHING'],2024-05-15 08:32:47+00:00,2024-05-15 08:33:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (433716.0305913246 6899387.652808454 0, 433727.5777311192 6899509.220838663 0, 433773.7819025093 6899779.871757147 0, 433805.6466515487 6899927.226913325 0, 433834.6687139897 6900030.622505804 0, 433878.530650898 6900150.99873275 0, 433938.845943877 6900288.547319788 0, 434016.6944450805 6900429.541769258 0, 434101.4794999672 6900556.027310025 0)",105131895.0,105131693.0,2024-05-15 08:33:48+00:00,2024-05-15 08:35:57+00:00,['BRUSHING'],2024-05-15 08:33:48+00:00,2024-05-15 08:34:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (434101.4794999672 6900556.027310025 0, 434148.3761901382 6900619.739845402 0, 434209.3643381711 6900686.297554782 0, 434343.3024068827 6900801.353601843 0, 434476.5960837229 6900891.800894463 0, 434718.3284074784 6901030.626110935 0)",105132114.0,105131895.0,2024-05-15 08:34:55+00:00,2024-05-15 08:37:00+00:00,['BRUSHING'],2024-05-15 08:34:55+00:00,2024-05-15 08:35:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (434718.3284074784 6901030.626110935 0, 434826.8082876253 6901105.076520027 0, 434965.1451325371 6901218.39976145 0, 435402.387633863 6901660.714846613 0)",105132417.0,105132114.0,2024-05-15 08:35:56+00:00,2024-05-15 08:38:03+00:00,['BRUSHING'],2024-05-15 08:35:56+00:00,2024-05-15 08:36:57+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (435402.387633863 6901660.714846613 0, 435474.8867541429 6901749.805410159 0, 435594.6380369116 6901921.008448557 0, 435662.8170021191 6901988.567951686 0, 435765.0030389774 6902049.127541334 0, 435972.2199368472 6902118.274879755 0, 436028.3230791497 6902158.102339489 0, 436059.3916185725 6902190.495001804 0, 436095.5825776961 6902243.628135514 0, 436118.6002261827 6902300.911917523 0, 436127.7686563932 6902340.407087809 0, 436152.3215816921 6902549.764787866 0)",105132615.0,105132417.0,2024-05-15 08:36:57+00:00,2024-05-15 08:39:05+00:00,['BRUSHING'],2024-05-15 08:36:57+00:00,2024-05-15 08:37:58+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (436152.3215816921 6902549.764787866 0, 436157.8117008738 6902614.51320857 0, 436160.2170251702 6902749.410119261 0, 436144.1368352124 6902890.341051799 0, 436114.786654277 6902980.823244182 0, 436062.1791758144 6903063.947809879 0, 436010.3087221373 6903117.418625235 0, 435929.0779281248 6903173.121178296 0, 435613.5029692922 6903307.630523017 0, 435530.4178874259 6903355.466883966 0, 435458.1156811857 6903418.252977291 0, 435328.3219131525 6903584.217559118 0)",105132817.0,105132615.0,2024-05-15 08:37:58+00:00,2024-05-15 08:40:07+00:00,['BRUSHING'],2024-05-15 08:37:58+00:00,2024-05-15 08:38:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (435328.3219131525 6903584.217559118 0, 435242.6090729608 6903667.658554344 0, 435161.8088698499 6903722.814862608 0, 435071.5844676486 6903763.223367997 0, 434903.1678896879 6903815.956766422 0, 434808.5247891762 6903855.900899461 0, 434692.193928668 6903921.007033318 0, 434583.985104454 6904002.89690159 0, 434449.4527157786 6904140.908461023 0, 434307.3323512083 6904312.615204611 0, 434198.4965076254 6904472.755997871 0, 434146.9459144457 6904598.236147799 0)",105133036.0,105132817.0,2024-05-15 08:38:59+00:00,2024-05-15 08:41:10+00:00,['BRUSHING'],2024-05-15 08:38:59+00:00,2024-05-15 08:40:00+00:00,,state-roads,Harja/Väylävirasto,True,False,False
