startTime,endTime,direction,domain,source,1000m,500m,100m
2024-03-29 22:01:04+00:00,2024-03-29 22:03:18+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:03:18+00:00,2024-03-29 22:04:53+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:04:53+00:00,2024-03-29 22:07:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:07:03+00:00,2024-03-29 22:09:11+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:09:11+00:00,2024-03-29 22:10:56+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:10:56+00:00,2024-03-29 22:12:57+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:12:57+00:00,2024-03-29 22:14:43+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:14:43+00:00,2024-03-29 22:16:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:16:36+00:00,2024-03-29 22:18:38+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:18:38+00:00,2024-03-29 22:20:25+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:20:25+00:00,2024-03-29 22:22:26+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:22:26+00:00,2024-03-29 22:24:05+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:24:05+00:00,2024-03-29 22:26:06+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:26:06+00:00,2024-03-29 22:28:11+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:28:11+00:00,2024-03-29 22:30:01+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:30:01+00:00,2024-03-29 22:32:02+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:32:02+00:00,2024-03-29 22:33:37+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:33:37+00:00,2024-03-29 22:35:41+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:35:41+00:00,2024-03-29 22:37:31+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:37:31+00:00,2024-03-29 22:39:32+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:39:32+00:00,2024-03-29 22:41:29+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:41:29+00:00,2024-03-29 22:42:30+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 22:42:30+00:00,2024-03-29 22:43:31+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 22:54:39+00:00,2024-03-29 22:57:39+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 22:57:39+00:00,2024-03-29 23:00:39+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 23:00:39+00:00,2024-03-29 23:03:39+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 23:03:39+00:00,2024-03-29 23:06:39+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 23:06:39+00:00,2024-03-29 23:09:39+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 23:09:39+00:00,2024-03-29 23:12:39+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 23:12:39+00:00,2024-03-29 23:15:39+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 23:15:39+00:00,2024-03-29 23:18:40+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 23:18:40+00:00,2024-03-29 23:21:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 23:21:40+00:00,2024-03-29 23:24:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 23:24:40+00:00,2024-03-29 23:27:36+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 23:27:36+00:00,2024-03-29 23:28:37+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 23:28:37+00:00,2024-03-29 23:29:38+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 23:29:38+00:00,2024-03-29 23:30:39+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:09:57+00:00,2024-04-11 17:12:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-04-11 17:12:07+00:00,2024-04-11 17:15:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-04-11 17:15:07+00:00,2024-04-11 17:18:07+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:18:07+00:00,2024-04-11 17:20:20+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:20:20+00:00,2024-04-11 17:23:02+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:23:02+00:00,2024-04-11 17:25:41+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:25:41+00:00,2024-04-11 17:28:08+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:28:08+00:00,2024-04-11 17:30:33+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:30:33+00:00,2024-04-11 17:33:33+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:33:33+00:00,2024-04-11 17:36:33+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:36:33+00:00,2024-04-11 17:38:51+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:38:51+00:00,2024-04-11 17:40:52+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-04-11 17:40:52+00:00,2024-04-11 17:42:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-04-11 17:42:59+00:00,2024-04-11 17:45:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
