"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","13","20:00","24.8"
"Kaarina Kaarina","2024","3","13","21:00","26.4"
"Kaarina Kaarina","2024","3","13","22:00","31.1"
"Kaarina Kaarina","2024","3","13","23:00","23.8"
"Kaarina Kaarina","2024","3","14","00:00","17.3"
"Kaarina Kaarina","2024","3","14","01:00","13.7"
"Kaarina Kaarina","2024","3","14","02:00","11.2"
"Kaarina Kaarina","2024","3","14","03:00","10.3"
"Kaarina Kaarina","2024","3","14","04:00","12.8"
"Kaarina Kaarina","2024","3","14","05:00","9.6"
"Kaarina Kaarina","2024","3","14","06:00","8.3"
"Kaarina Kaarina","2024","3","14","07:00","6.3"
"Kaarina Kaarina","2024","3","14","08:00","13.7"
"Kaarina Kaarina","2024","3","14","09:00","13.5"
"Kaarina Kaarina","2024","3","14","10:00","10.4"
"Kaarina Kaarina","2024","3","14","11:00","23.3"
"Kaarina Kaarina","2024","3","14","12:00","20.9"
"Kaarina Kaarina","2024","3","14","13:00","25.8"
"Kaarina Kaarina","2024","3","14","14:00","31.8"
"Kaarina Kaarina","2024","3","14","15:00","24.8"
"Kaarina Kaarina","2024","3","14","16:00","28.7"
"Kaarina Kaarina","2024","3","14","17:00","22.7"
"Kaarina Kaarina","2024","3","14","18:00","24.6"
"Kaarina Kaarina","2024","3","14","19:00","20.6"
"Kaarina Kaarina","2024","3","14","20:00","17"
"Kaarina Kaarina","2024","3","14","21:00","13.8"
"Kaarina Kaarina","2024","3","14","22:00","9.9"
"Kaarina Kaarina","2024","3","14","23:00","8.1"
"Kaarina Kaarina","2024","3","15","00:00","13.6"
"Kaarina Kaarina","2024","3","15","01:00","11.2"
"Kaarina Kaarina","2024","3","15","02:00","8.5"
"Kaarina Kaarina","2024","3","15","03:00","8.2"
"Kaarina Kaarina","2024","3","15","04:00","7"
"Kaarina Kaarina","2024","3","15","05:00","5.9"
"Kaarina Kaarina","2024","3","15","06:00","6"
"Kaarina Kaarina","2024","3","15","07:00","5.9"
"Kaarina Kaarina","2024","3","15","08:00","5.4"
"Kaarina Kaarina","2024","3","15","09:00","5.2"
"Kaarina Kaarina","2024","3","15","10:00","4"
"Kaarina Kaarina","2024","3","15","11:00","3.6"
"Kaarina Kaarina","2024","3","15","12:00","2.6"
"Kaarina Kaarina","2024","3","15","13:00","4"
